"[엔믹스] 오해원 앞에서 배이가 최애라고 하면 생기는 일ㅋㅋㅋㅋ","엔믹스 #nmixx #jyp #해원 #워크돌 https://youtu.be/0CnEduDB6VI?si=-drUEBCpclDn4d84.","188007","7139"
"민간인이 직접 군대를 지휘? 내란죄의 최고형은 사형이다","뉴스 #이이제이 #시사 #언론 #이동형tv #정치.","527711","32907"
"귀요미들의 첫눈 챌린지🫶#춤추는서엘#춤추는곰돌#afstarz#키즈크리에이터#dance#kpop#쇼츠#챌린지#kpopdance#첫눈챌린지","","766","0"
"같이 쓰면 효과가 대박인 다이소꿀템 조합","","466502","12323"
"나는 스마트 기타다","저희 구독자분들께만 선공개된 할인 링크 공유드려요. 관심 있으신 분 더 저렴한 가격으로 피오즈 기타 구매 가능합니다!","17825","707"
"은수저에 독이 닿으면 정말 검게 변할까?","","39705","836"
"반전챌린지3 #챌린지 #웃긴영상 #koreanchallenge #challenge","","17958","305"
"전자제품의 필수 부품 MLCC가 이 세상에서 사라진다면? I (부)품생품사 EP.8","부품에 살고 부품에 죽는다! 삼성전기 (부)품생품사   오늘 살펴볼 부품은 바로 삼성전기의 MLCC인데요! 전자 제품의 필수 부품인 ...","15047","20"
"2024-12-05 00:00:00","","-1","-1"
"요즘 인테리어st ㅣ영림홈앤리빙 #리모델링 #트렌드 #shrots","안녕하세요 건축자재 하면 떠오르는 이름 대림우드입니다 오늘은 매번 전화하는 트렌드에 맞춰 발전에 발전을 거듭하는 업체죠 바로 ...","602","5"
"안 그럴 거 같은 버논이 저렇게 해서 더 웃김","","83811","8371"
"삼용이한테 물린 아저씨","진돗개 #삼용이 #황구.","110823","6468"
"회피형 인간이 괴로운 이유","","758069","29056"
"707"
"세계꼴찌 한국선수 안중에도 없던 덴마크 유망주 결과는?","","906641","17294"
"눈이 확 달라짐 ㅇㅇ #눈 #애교살 #메이크업 #아이메이크업 #스타일링 #뷰티 #애교살메이크업 #뷰티팁 #화장법 #눈화장 #트렌드","","4916","63"
"유희관이 최고 전성기에도 국가대표로 못한 이유 #야구","야구 #예능 #야구대표자 #야구대표자덕후들의리그 #이대호 #유희관 #윤석민 #지상렬 #이종혁 #하승진 #우디 #매직박 #준우 #엄지 ...","245519","2174"
"2024-12-05 00:00:00","","-1","-1"
"요즘 인테리어st ㅣ영림홈앤리빙 #리모델링 #트렌드 #shrots","안녕하세요 건축자재 하면 떠오르는 이름 대림우드입니다 오늘은 매번 전화하는 트렌드에 맞춰 발전에 발전을 거듭하는 업체죠 바로 ...","602","5"
"안 그럴 거 같은 버논이 저렇게 해서 더 웃김","","83811","8371"
"당신들은 역사에 남을 부역자들! 울분에 찬 용혜인의 외침","","51462","6465"
"회피형 인간이 괴로운 이유","","758069","29056"
